5,6,5.6667,5.3333,6.3333,6,5.6667,4.3333,5.3333,1.6667,7.3333,6.3333,3.3333,7.6667
8,6,6.3333,5.3333,8,5.3333,5.3333,6.3333,6,7.6667,6.6667,6,8.3333,6.6667
9.6667,3.3333,5.6667,6.3333,6.6667,7,5.3333,6.6667,9.6667,8.6667,2.3333,2.3333,6.3333,5.3333
6,9,5.3333,2.3333,4,4.6667,8,4.3333,8.3333,9,8,7,4.6667,3.6667
2,1,2.6667,3.6667,5.3333,1.6667,9.3333,9,4.6667,8.3333,7.6667,4.3333,5.3333,4.6667
9.6667,2.3333,5,9,6,7.6667,3,2,5.6667,6.3333,2.6667,4.3333,5.6667,7.6667
3.6667,6,4.6667,3.3333,2.6667,2.6667,7.3333,3.3333,4.3333,7,4,2.6667,2.6667,3.6667
9.3333,9.6667,5.3333,2.6667,4.6667,8.6667,4,5.6667,5,4,3,1,5.3333,3.3333
1,1,1,1,1.3333,1.3333,10,5,5,9.6667,3.6667,1,4.6667,2
7.3333,6.6667,6.6667,1,5.3333,5.6667,5,6.6667,6,8,5,3.6667,2.6667,3.3333
9,8.3333,7.3333,6,3.3333,9.3333,2.3333,1.6667,3,6.6667,5,3.6667,7,6.3333
9.3333,1,1,9.3333,9,9.6667,3.3333,5,5.6667,2.6667,8,8.3333,2.6667,10
5.3333,1.3333,3.3333,2.3333,5.6667,5,4.6667,6,5.3333,8,5.6667,4.6667,5.3333,5.6667
7.6667,8.6667,3,6.3333,4.3333,4.6667,5.3333,3.3333,4.3333,8.3333,5.3333,5,8.3333,3
5.3333,4.6667,5,5,5,4.6667,7,3,2,8.3333,6.3333,8.3333,5,6.3333
5,6,5.6667,5.3333,6.3333,6,5.6667,4.3333,5.3333,1.6667,7.3333,6.3333,3.3333,7.6667
8,6,6.3333,5.3333,8,5.3333,5.3333,6.3333,6,7.6667,6.6667,6,8.3333,6.6667
9.6667,3.3333,5.6667,6.3333,6.6667,7,5.3333,6.6667,9.6667,8.6667,2.3333,2.3333,6.3333,5.3333
6,9,5.3333,2.3333,4,4.6667,8,4.3333,8.3333,9,8,7,4.6667,3.6667
2,1,2.6667,3.6667,5.3333,1.6667,9.3333,9,4.6667,8.3333,7.6667,4.3333,5.3333,4.6667
9.6667,2.3333,5,9,6,7.6667,3,2,5.6667,6.3333,2.6667,4.3333,5.6667,7.6667
3.6667,6,4.6667,3.3333,2.6667,2.6667,7.3333,3.3333,4.3333,7,4,2.6667,2.6667,3.6667
9.3333,9.6667,5.3333,2.6667,4.6667,8.6667,4,5.6667,5,4,3,1,5.3333,3.3333
1,1,1,1,1.3333,1.3333,10,5,5,9.6667,3.6667,1,4.6667,2
7.3333,6.6667,6.6667,1,5.3333,5.6667,5,6.6667,6,8,5,3.6667,2.6667,3.3333
9,8.3333,7.3333,6,3.3333,9.3333,2.3333,1.6667,3,6.6667,5,3.6667,7,6.3333
9.3333,1,1,9.3333,9,9.6667,3.3333,5,5.6667,2.6667,8,8.3333,2.6667,10
5.3333,1.3333,3.3333,2.3333,5.6667,5,4.6667,6,5.3333,8,5.6667,4.6667,5.3333,5.6667
7.6667,8.6667,3,6.3333,4.3333,4.6667,5.3333,3.3333,4.3333,8.3333,5.3333,5,8.3333,3
5.3333,4.6667,5,5,5,4.6667,7,3,2,8.3333,6.3333,8.3333,5,6.3333
5,6,5.6667,5.3333,6.3333,6,5.6667,4.3333,5.3333,1.6667,7.3333,6.3333,3.3333,7.6667
8,6,6.3333,5.3333,8,5.3333,5.3333,6.3333,6,7.6667,6.6667,6,8.3333,6.6667
