0.067347,50.732,4.3295,165.48,0.24745,0.19888,0.094096,0.17588,0.072068,0.10466,3.5434,1.3758,0.57592,0.56051,0.017603,0.019888,0.015472,0.041667,3.3423,1.1347,0.21856,0.42007,0.10966,0.20268,0.12146,0.036731,2.8036,1.0732,0.060172,6,0,0,1,1,4.5,0,0,1,26,0
0.66667,51.299,3.136,157.57,0.31613,0.26661,0.14824,0.089507,0.092543,0.061724,4.1887,1.5805,0.24806,0.52663,0,0,0,0,3.729,0.92739,0.32349,0.25409,0.027158,0.031782,0.034385,0.03402,2.7126,0.8979,0.12327,7,1,1,1,1,4.5,0,0,1,26,0
2.4667,72.335,2.745,281.84,0.26107,0.14395,0.03351,0.044235,0.044945,0.045327,5.9005,2.5023,0.59626,0.41676,0.1839,0.27247,0.17811,0.11411,2.1955,1.6319,0.37088,0.27754,0.055412,0.054839,0.064838,0.1354,5.7221,1.9958,1.6876,9,1,1,1,1,4.5,0,0,1,26,0
0.86667,83.997,4.5907,296.38,0.35119,0.23809,0.021538,0.020735,0.026574,0.024139,4.7597,2.8639,0.32896,0.31479,0.050866,0.029051,0.04762,0.018526,4.7441,1.6027,0.48467,0.6168,0.15153,0.046016,0.23192,0.16938,3.9002,1.3573,0.0032805,3,0,1,0,1,4.5,0,0,1,26,0
0.066667,76.54,11.21,58.694,0.37096,1.5896,0.35743,0.14787,0.48749,0.36018,1.6352,0.78491,1.0108,0.3937,0.60912,0.096188,0.51299,0,1.6616,1.4628,0.60254,0.66312,0.11258,0.024238,0.08711,0.09965,1.7669,0.75783,-0.01585,15,0,0,0.5,1,4.5,0,0,1,26,0
0.066667,55.628,3.9929,221.94,0.23817,0.18138,0.0038537,0.019621,0.0063067,0.061526,4.7094,2.3488,0.53843,2.4489,0.20111,0,0.58683,0,2.3427,2.0519,0.38879,0.55127,0.071631,0.077251,0.064725,0.058444,3.5961,1.1716,1.0102,2,1,0,1,1,4.5,0,0,1,26,0
1,63.296,4.6332,129.89,0.32333,0.18439,0.032669,0.035745,0.068324,0.11581,5.5258,1.4548,0.32454,0.24673,0.053468,0.022839,0.055935,0.046154,3.4656,0.79548,0.41511,0.38307,0.16829,0.089203,0.12332,0.10623,3.0107,1.3256,0.59447,5,1,0,1,1,4.5,0,0,1,26,0
1.9333,94.793,3.7006,466.82,0.29662,0.14294,0.11787,0.097088,0.22032,0.2554,8.0182,2.8941,0.38957,0.5823,0.055946,0.052993,0.047031,0.055844,3.0538,1.1639,0.49856,0.5447,0.12404,0.1426,0.16688,0.054267,3.2142,1.8057,1.6256,1,1,0,1,1,4.5,0,0,1,26,0
0.26667,108.84,16.242,37.47,1.9368,0.28056,0.55555,0.22038,0.54926,0.14769,1.646,0.92903,1.5935,0.87323,0.39788,0.089638,0.527,0.062178,1.8675,1.5043,1.2733,0.83041,0.17496,0.31155,0.43122,0.25659,0.86311,1.0815,-0.11859,12,1,0,1,1,4.5,0,0,1,26,0
1,109.97,4.1305,331.64,0.2741,0.29309,0.10759,0.042595,0.1263,0.034525,7.6207,1.5516,0.36561,0.22587,0.16681,0.1239,0.11862,0.088891,4.61,1.5375,0.48577,0.24513,0.075052,0.055927,0.078349,0.061687,4.3179,1.2618,0.65308,10,0,0,0,1,4.5,0,0,1,26,0
1.0102,71.157,3.3857,344.71,0.28831,0.20313,0.063124,0.30068,0.097359,0.076481,7.179,2.4396,0.56743,0.71266,0.2588,0.075088,0.35947,0.065013,3.474,2.146,0.55153,0.52221,0.12295,0.11849,0.40267,0.40511,2.4505,1.4477,1.0665,8,1,0,1,1,4.5,0,0,1,26,0
0.067347,43.642,4.1636,76.927,0.42196,0.60935,0.12943,0.21194,0.14925,0.070108,1.998,1.5805,0.42594,1.5714,0.099883,0.060173,0.15909,0.053248,1.5048,1.258,0.31395,0.35265,0.097937,0.06493,0.056052,0.052413,2.3679,1.0451,0.32776,11,0,0,1,1,4.5,0,0,1,26,0
0.066667,43.396,4.6537,39.445,0.25734,0.21133,0.091347,0.0756,0.097698,0.12606,1.6676,0.82269,0.71505,1.0519,0.1037,0.040525,0.21671,0.073228,1.5155,0.6585,0.28264,0.69702,0.23846,0.1746,0.20008,0.058722,1.6723,0.86561,0.10032,13,1,1,1,1,4.5,0,0,1,26,0
2.0667,150.94,6.4901,418.17,0.26628,0.11366,0.067965,0.027136,0.081343,0.15448,7.5082,2.6649,0.25915,0.47216,0,0,0,0,3.7781,1.757,0.3164,1.9166,0.14822,0.008574,0.10115,0.069101,2.9963,1.3539,0.98733,14,1,0,0.5,1,4.5,0,0,1,26,0
