0.00028345,0.068219,0.11739,0.26323,0.42476,0.12511,0.16937,0.58494,0.050159,0.29057,0.29895,0.22067,0.24368,0.15054,0.028899,0.072989,0.026366,0.36515,0.56726,0.32013,0.53603,0.21918,0.39043,0.65056,0.28167,0.090668,0.39936,0.20683,0.098973,1,4.5,0
0.25,0.073494,0.028964,0.24698,0.44814,0.16772,0.26684,0.29769,0.065776,0.17137,0.40004,0.29711,0,0.1353,0,0,0,0,0.68662,0.18077,0.58219,0.13258,0,0.10201,0.079738,0.083976,0.38064,0.091844,0.13391,1,4.5,0
1,0.2691,0,0.50253,0.4294,0.09056,0.060319,0.14712,0.029471,0.12585,0.66823,0.64134,0.2588,0.085872,0.30191,1,0.30351,1,0.21323,0.65439,0.60304,0.14481,0.13372,0.17602,0.15036,0.33422,1,0.81177,1,1,4.5,0
0.33333,0.37754,0.13674,0.53243,0.46008,0.14978,0.038768,0.068962,0.015459,0.067021,0.4895,0.77639,0.060127,0.040004,0.083507,0.10662,0.081147,0.16236,1,0.63478,0.6531,0.32183,0.58861,0.1477,0.53782,0.4181,0.62503,0.3931,0.067475,1,4.5,0
0,0.30819,0.62715,0.043644,0.46682,1,0.64338,0.49179,0.36702,1,0,0,0.56691,0.075499,1,0.35302,0.87417,0,0.048411,0.54067,0.70495,0.34599,0.40429,0.0778,0.20201,0.24598,0.18601,0,0.056883,1,4.5,0
0,0.11374,0.092453,0.37934,0.4216,0.1141,0.0069366,0.065255,0,0.17082,0.48162,0.58404,0.21581,1,0.33016,0,1,0,0.25868,0.93673,0.61092,0.28764,0.21048,0.24796,0.1501,0.14427,0.56245,0.27132,0.62498,1,4.5,0
0.38889,0.18504,0.13989,0.19005,0.4506,0.116,0.058804,0.11888,0.047303,0.32153,0.60953,0.25018,0.056844,0.0093873,0.087779,0.083822,0.095317,0.40447,0.60532,0.092085,0.6225,0.19988,0.66794,0.28632,0.28598,0.26222,0.44198,0.37228,0.3948,1,4.5,0
0.77778,0.47793,0.0708,0.88291,0.4415,0.089923,0.21216,0.3229,0.16324,0.7091,1,0.78767,0.10517,0.16034,0.091847,0.19449,0.080144,0.48938,0.4782,0.33975,0.65921,0.28421,0.45852,0.4577,0.38699,0.13396,0.48386,0.68712,0.96571,1,4.5,0
0.083333,0.60853,1,0,1,0.1765,1,0.73294,0.41413,0.41006,0.0016879,0.05382,1,0.29121,0.6532,0.32898,0.89804,0.5449,0.11197,0.5686,1,0.43328,0.6995,1,1,0.63337,0,0.21225,0,1,4.5,0
0.38889,0.61905,0.10265,0.60494,0.43383,0.18438,0.19366,0.14166,0.091525,0.095856,0.93773,0.28633,0.087367,0,0.27386,0.45471,0.20214,0.77899,0.95861,0.59091,0.65358,0.1279,0.22667,0.17951,0.18169,0.15227,0.71101,0.33049,0.42724,1,4.5,0
